agent,t,sigma,wager,m_over_b
0,122,0.5945930937995764,0.7162151656597034,0.7162151656597034
0,123,0.6370716091618428,0.74595012641329,0.74595012641329
0,124,0.6682709075863674,0.7677896353104572,0.7677896353104572
0,125,0.6969186575678842,0.7878430602975188,0.7878430602975188
0,126,0.7343789622397824,0.8140652735678475,0.8140652735678475
0,127,0.7380112924064806,0.8166079046845363,0.8166079046845363
0,128,0.6229920110480389,0.7360944077336272,0.7360944077336272
0,129,0.6567423036487773,0.7597196125541441,0.7597196125541441
0,130,0.6525184560128873,0.7567629192090211,0.7567629192090211
0,131,0.6635489584179742,0.7644842708925819,0.7644842708925819
0,132,0.7010210134506374,0.7907147094154461,0.7907147094154461
0,133,0.7006529015598437,0.7904570310918906,0.7904570310918906
0,134,0.7287111396581206,0.8100977977606845,0.8100977977606845
0,135,0.6685818916131072,0.7680073241291749,0.7680073241291749
0,136,0.6660208162582768,0.7662145713807937,0.7662145713807937
0,137,0.6767978139484865,0.7737584697639405,0.7737584697639405
0,138,0.7098772312730101,0.796914061891107,0.796914061891107
0,139,0.739016110661607,0.8173112774631248,0.8173112774631248
0,140,0.7613221009090342,0.8329254706363238,0.8329254706363238
0,141,0.7210226228234564,0.8047158359764195,0.8047158359764195
0,142,0.7474196953127424,0.8231937867189196,0.8231937867189196
0,143,0.7340393117675581,0.8138275182372907,0.8138275182372907
0,144,0.7438559944833167,0.8206991961383217,0.8206991961383217
0,145,0.7457102687356527,0.8219971881149568,0.8219971881149568
0,146,0.7710626401595924,0.8397438481117145,0.8397438481117145
0,147,0.7802952246047318,0.8462066572233122,0.8462066572233122
0,148,0.792056481586824,0.8544395371107767,0.8544395371107767
0,149,0.8050765976118885,0.8635536183283219,0.8635536183283219
0,150,0.8158708588685392,0.8711096012079773,0.8711096012079773
0,151,0.8157010856857817,0.870990759980047,0.870990759980047
0,152,0.8125364187225997,0.8687754931058198,0.8687754931058198
0,153,0.8074014609575902,0.8651810226703132,0.8651810226703132
0,154,0.7456526210013584,0.8219568347009509,0.8219568347009509
0,155,0.7740834552137742,0.8418584186496418,0.8418584186496418
0,156,0.7674728476727147,0.8372309933709003,0.8372309933709003
0,157,0.7601337061860822,0.8320935943302574,0.8320935943302574
0,158,0.7801643766623871,0.846115063663671,0.846115063663671
0,159,0.7977843586826463,0.8584490510778524,0.8584490510778524
0,160,0.8125018801813293,0.8687513161269305,0.8687513161269305
0,161,0.8204558679955553,0.8743191075968886,0.8743191075968886
0,162,0.7520329144096004,0.8264230400867203,0.8264230400867203
0,163,0.6918913091033301,0.784323916372331,0.784323916372331
0,164,0.7253442463486248,0.8077409724440374,0.8077409724440374
0,165,0.6721466269559543,0.770502638869168,0.770502638869168
0,166,0.6414534683782896,0.7490174278648027,0.7490174278648027
0,167,0.6810840592783156,0.7767588414948209,0.7767588414948209
0,168,0.6985601689009443,0.788992118230661,0.788992118230661
