scenario,seed,total_profit,coalition_profit,mean_profit,final_gini,participation_rate
no_collusion,14,-5.034861416675085e-14,0.0,-5.034861416675085e-17,0.40588578548729176,0.628
collusion_weighted_mean,14,-1.7253559692065323e-14,31.176210096450077,-1.7253559692065323e-17,0.4962137593302541,0.7294545454545454
collusion_weighted_median,14,6.238065619612598e-15,29.394460440636916,6.2380656196125985e-18,0.48000311352480385,0.7294545454545454
no_collusion,15,-1.3655743202889425e-14,0.0,-1.3655743202889425e-17,0.18963792462158185,0.5575
collusion_weighted_mean,15,-3.544387006115812e-14,13.200817192795514,-3.544387006115812e-17,0.2375489531990316,0.6781818181818182
collusion_weighted_median,15,1.4710455076283324e-15,9.969081996020812,1.4710455076283324e-18,0.21394841575770154,0.6781818181818182
no_collusion,16,1.5765166949677223e-14,0.0,1.576516694967722e-17,0.2678706954157763,0.5665
collusion_weighted_mean,16,1.1074474670635936e-14,21.086894835377983,1.1074474670635937e-17,0.3679214604646611,0.6847272727272727
collusion_weighted_median,16,1.2295719997723609e-14,11.862119286120109,1.2295719997723609e-17,0.32450418385061325,0.6847272727272727
no_collusion,17,-5.134781488891349e-15,0.0,-5.134781488891349e-18,0.29757678284425026,0.504375
collusion_weighted_mean,17,4.135580766728708e-15,13.250140599252553,4.135580766728708e-18,0.29262881206246594,0.6395454545454545
collusion_weighted_median,17,5.245803791353865e-15,11.073776634614765,5.245803791353865e-18,0.2894447574043142,0.6395454545454545
no_collusion,18,2.042810365310288e-14,0.0,2.042810365310288e-17,0.40013310866362134,0.554
collusion_weighted_mean,18,-3.558264793923627e-14,6.7324104900575845,-3.558264793923627e-17,0.34216335095526973,0.6756363636363637
collusion_weighted_median,18,-1.0408340855860843e-15,3.7944112885764385,-1.0408340855860842e-18,0.3469660000728008,0.6756363636363637
no_collusion,19,2.0136670109138777e-14,0.0,2.0136670109138778e-17,0.4274875176131495,0.64025
collusion_weighted_mean,19,-1.6667223157185163e-14,38.97410916423506,-1.6667223157185163e-17,0.5768890665316978,0.7383636363636363
collusion_weighted_median,19,-5.24615073604906e-14,36.195872283548454,-5.24615073604906e-17,0.5524586843690017,0.7383636363636363
