experiment,method,seed,DGP,preset,mean_crps,delta_crps_vs_equal,mean_HHI,mean_N_eff,final_gini
master_comparison,deposit,72,latent_fixed,exponential_deposits,0.05575675451730036,0.0013130465737610161,0.2268007921674906,4.72851369950177,nan
master_comparison,skill,72,latent_fixed,exponential_deposits,0.05301869026919742,-0.0014250176743419232,0.2268007921674906,4.72851369950177,nan
master_comparison,mechanism,72,latent_fixed,exponential_deposits,0.05341215686559295,-0.001031551077946398,0.2268007921674906,4.72851369950177,nan
master_comparison,best_single,72,latent_fixed,exponential_deposits,0.02548338535804429,-0.028960322585495055,0.2268007921674906,4.72851369950177,nan
master_comparison,uniform,73,latent_fixed,exponential_deposits,0.052957848161623564,0.0,0.22517403195148997,4.805088213443849,nan
master_comparison,deposit,73,latent_fixed,exponential_deposits,0.05691609331667322,0.00395824515504966,0.22517403195148997,4.805088213443849,nan
master_comparison,skill,73,latent_fixed,exponential_deposits,0.05165925109297646,-0.0012985970686471004,0.22517403195148997,4.805088213443849,nan
master_comparison,mechanism,73,latent_fixed,exponential_deposits,0.05467178479699325,0.0017139366353696867,0.22517403195148997,4.805088213443849,nan
master_comparison,best_single,73,latent_fixed,exponential_deposits,0.02341330504576468,-0.029544543115858884,0.22517403195148997,4.805088213443849,nan
master_comparison,uniform,74,latent_fixed,exponential_deposits,0.0558476502182619,0.0,0.22969644884493046,4.68785715834982,nan
master_comparison,deposit,74,latent_fixed,exponential_deposits,0.05792621351280557,0.0020785632945436727,0.22969644884493046,4.68785715834982,nan
master_comparison,skill,74,latent_fixed,exponential_deposits,0.05431134846236693,-0.0015363017558949685,0.22969644884493046,4.68785715834982,nan
master_comparison,mechanism,74,latent_fixed,exponential_deposits,0.05534888044158341,-0.0004987697766784885,0.22969644884493046,4.68785715834982,nan
master_comparison,best_single,74,latent_fixed,exponential_deposits,0.025241887859218153,-0.030605762359043748,0.22969644884493046,4.68785715834982,nan
master_comparison,uniform,75,latent_fixed,exponential_deposits,0.05714011219239646,0.0,0.240485404483448,4.5472776677433036,nan
master_comparison,deposit,75,latent_fixed,exponential_deposits,0.05918212311585618,0.0020420109234597222,0.240485404483448,4.5472776677433036,nan
master_comparison,skill,75,latent_fixed,exponential_deposits,0.05552844292096993,-0.0016116692714265302,0.240485404483448,4.5472776677433036,nan
master_comparison,mechanism,75,latent_fixed,exponential_deposits,0.0563816234937674,-0.000758488698629059,0.240485404483448,4.5472776677433036,nan
master_comparison,best_single,75,latent_fixed,exponential_deposits,0.024424304445170728,-0.03271580774722573,0.240485404483448,4.5472776677433036,nan
master_comparison,uniform,76,latent_fixed,exponential_deposits,0.05501590528053201,0.0,0.23172991314633684,4.719559970313319,nan
master_comparison,deposit,76,latent_fixed,exponential_deposits,0.058853893165202446,0.003837987884670435,0.23172991314633684,4.719559970313319,nan
master_comparison,skill,76,latent_fixed,exponential_deposits,0.05361488871279353,-0.0014010165677384792,0.23172991314633684,4.719559970313319,nan
