t,crps_uniform,crps_uniform_cum,crps_deposit,crps_deposit_cum,crps_skill,crps_skill_cum,crps_mechanism,crps_mechanism_cum,crps_best_single,crps_best_single_cum
120,0.0406029256579813,0.05059652805665529,0.03490895590100339,0.04787319047594139,0.03993002305318164,0.049729901361444735,0.033426181464703365,0.046244424537288865,0.03669659806043974,0.022728290529511377
121,0.03867487747955146,0.05049880960930198,0.03392126707136143,0.04775883044803501,0.03778095693876228,0.0496319591940457,0.03218273574089023,0.046129164793056086,0.016175070148473268,0.02266209638424837
122,0.061447539792527095,0.05058782367583227,0.054671940910161386,0.04781503459813359,0.06041492411911725,0.04971962557555034,0.05256985331029157,0.04618152811433443,0.01769073417393895,0.022612382762145274
123,0.018082480332925276,0.05032568381016366,0.01600520656708517,0.04755850372691546,0.01762923118600839,0.049460832072408874,0.015121722189364297,0.04593104580848789,nan,nan
124,0.03550463564332247,0.05020711542482893,0.03490912406583517,0.04745730868962681,0.035360858196134756,0.04934803228139868,0.03463418227301042,0.04584067090020407,nan,nan
125,0.04781050167878568,0.05018809468081272,0.045374548902809946,0.0474407788500489,0.047305332352994306,0.049331820377204995,0.04428739862369235,0.045828343342453975,nan,nan
126,0.042662628249053106,0.05012883903961776,0.03429688847129414,0.04733728365021619,0.04106841046832956,0.04926675415745007,0.031459845779604576,0.04571520556636855,0.005365394707159112,0.022441620504175114
127,0.07576431506497924,0.05032911619606589,0.07090159730096332,0.04752137985061265,0.07435300426534822,0.04946274048641803,0.0684071928816967,0.04589248671726955,nan,nan
128,0.04022591839254609,0.050250796833247915,0.033562397210736575,0.047413170682861674,0.03914017459512045,0.04938272059578781,0.031422563894576025,0.045780316772907594,0.003427816282284794,0.022255210658862462
129,0.054260653511349066,0.05028164188461792,0.05035341279952153,0.0474357879299129,0.054285905580179025,0.04942043740336005,0.05390082884805789,0.04584278225040875,0.012158890922295792,0.022157188137148225
130,0.045096861475301245,0.05024206340821092,0.03936092513311872,0.04737414775589157,0.04427787024867765,0.04938118116553805,0.0374313838102293,0.04577857310201044,0.012924439744523905,0.022068411710296068
131,0.036753555534661024,0.05013987774250221,0.02945889795638667,0.04723842616650138,0.03557436643574087,0.04927658408425171,0.027878158391773305,0.045642963899660154,0.027818414360165744,0.022123173640294824
132,0.03948706243583708,0.050059781386813,0.034344498566898606,0.04714147934244422,0.038811461821519636,0.04919789895445673,0.03325639149363376,0.04554983177630657,0.014475003361382233,0.022051021090493762
133,0.09719381860560548,0.0504115279332219,0.07494774631006298,0.04734898879742645,0.09527858478576665,0.049541784669615764,0.07053235763048013,0.04573626853641234,0.024736223414264645,0.022076116439314054
134,0.0647913523461486,0.050518045151095425,0.05419533018348562,0.047399702437323186,0.06276035653754711,0.04963970001678562,0.0502913814521303,0.0457700101135658,0.01999239448980649,0.022056822717559352
135,0.061813704368751055,0.050601101468872305,0.05732925990660899,0.047472713889303235,0.06124703447371336,0.04972504806426303,0.05622302717374461,0.04584687053312594,nan,nan
136,0.057306957282620294,0.0506500493215274,0.055181321190457065,0.047528981095881,0.05690162041008755,0.049777431804013575,0.054436744065452715,0.04590957033993125,nan,nan
137,0.052286823685131524,0.05066191000532163,0.05109184568640379,0.04755479895523262,0.0519103461685689,0.049792887705206006,0.05049834949230099,0.045942822362774506,nan,nan
138,0.051865650706657204,0.050670570010367205,0.046097429701439145,0.04754431428434202,0.05096568794302118,0.04980132511698885,0.044357891033800535,0.04593141997911282,0.035447205874692723,0.022179670269459658
139,0.04334616005284327,0.05061825279638489,0.037333012761477796,0.047471376416321556,0.04245304282559196,0.049748837386336016,0.03500976826687894,0.045853408181168294,0.026410670887682196,0.0222181339114435
140,0.09648449067713465,0.050943545263624254,0.0810455006524925,0.04770949077260646,0.09373386188273684,0.050060787914679286,0.07554102060523035,0.04606395862389214,0.021803895293760298,0.022214402032004914
141,0.04395367964630053,0.05089432085786845,0.04087362032479221,0.04766135083987537,0.0433375361607999,0.050013441071342105,0.03952430002549014,0.04601790469010057,0.01677198897713883,0.02216580905830075
142,0.04027575519226351,0.05082006515391317,0.03658180508162288,0.04758387149890857,0.03997877875117108,0.049943268607564685,0.03534703195743049,0.04594328320245952,0.02143204819689713,0.022159315599350273
143,0.09658042460281455,0.05113784542786388,0.06934158510982708,0.047734966732317724,0.0922360882073083,0.05023696874367401,0.06357065040521157,0.04606569547470086,0.03314883311914227,0.022255714875839678
144,0.05698700210704771,0.051178184439444455,0.05056506649778569,0.04775448466173474,0.05598065923848887,0.050276580402258936,0.04841710025978301,0.046081912059425564,0.0328748730353743,0.02234805538157476
145,0.043826372024081094,0.05112782955988717,0.041334046772813895,0.04771050905975583,0.04352318107982722,0.05023032424251626,0.04171437547379335,0.0460519974252774,0.01085330170351092,0.022248962677453524
146,0.055179473291247325,0.05115539176214132,0.04276121366396132,0.04767684038359397,0.052926401366595675,0.05024866490322428,0.03841052860303938,0.04600001464417374,0.0076093045064103805,0.022123837393940332
147,0.04290787238373643,0.051099665279854795,0.036115401873985785,0.047598722555826346,0.04180546894263849,0.05019161628186897,0.03486890844481765,0.04592480446715106,0.018868637348375968,0.02209625095287623
148,0.027860560273335035,0.05094369813216003,0.025224702819759172,0.04744856134954402,0.027386319479598444,0.05003856059863225,0.02428876491042318,0.04577959614797839,0.0167220674866194,0.022051089747277434
149,0.038473222259854105,0.050860561626344655,0.033641452493710866,0.0473565139571718,0.03783139404392362,0.04995717948826753,0.03269173565174125,0.04569234374467014,0.016829330599170918,0.022007575087709882
150,0.0475633593858594,0.0508387258499176,0.043100531740262495,0.04732832864447704,0.046785354682184324,0.04993617402597558,0.04203881393313835,0.04566814818300437,0.0337220158989978,0.022104388648133747
151,0.03965959654446894,0.050765178946592285,0.03331525934723654,0.04723613739910045,0.03880998149108773,0.04986297539087764,0.03143169832167154,0.04557448732865349,0.02598707247713572,0.022136213925420648
152,0.05274946856225704,0.05077814815976656,0.046933440313803136,0.04723415898677825,0.0522133928283139,0.049878337596351074,0.045249584818275866,0.04557236378283403,0.020386072115541654,0.02212198513021838
153,0.04825462965044198,0.05076176167593978,0.040220719650469285,0.047188617172906115,0.04709663463138401,0.04986027459008505,0.03796961394826038,0.04552299527741472,0.016371764716156905,0.022075612384943693
154,0.042661595292756004,0.05070950253798376,0.037696461869105274,0.04712737746126869,0.04204644558575194,0.0498098627900571,0.0364817041204125,0.04546466436672439,nan,nan
155,0.0529579616439137,0.05072391573738074,0.04440221401325341,0.04710990846480705,0.05176130529984195,0.0498223720369147,0.042060926996394986,0.045442845537427404,0.022776824953322873,0.022081222085490727
156,0.08161503651514493,0.050920674468449306,0.07149166870423351,0.04726520630072696,0.08108650049210843,0.05002150661306243,0.06951615276493114,0.04559617870448157,0.008185707785583373,0.021970940225967652
157,0.1025870961445571,0.05124767713728544,0.06942247210830943,0.047405442160268624,0.09704880694241003,0.05031914775438741,0.06196057939520776,0.04569975086075199,0.01762465561873112,0.021936717512524843
158,0.033404224635491794,0.05113545416557604,0.026761217206885995,0.04727560426748005,0.032677166765730715,0.05020819189911284,0.024860863638660753,0.04556868867696525,0.004287071736622636,0.021798829654900608
159,0.03848928151961103,0.05105641558653876,0.028873760413858484,0.047160592743394916,0.036673057697083705,0.050123597310350154,0.02793382138811552,0.04545847075640994,0.01322865733400321,0.021732394210552564
160,0.06195920406008373,0.051124134769604264,0.06373175759947544,0.04726351923318424,0.06245259289248808,0.050200174922661565,0.06441084095780883,0.045576187341511795,nan,nan
161,0.0521051422357543,0.051130190371247164,0.047784494258693175,0.04726673512840343,0.05138672328148317,0.050207499295246885,0.046330204331916605,0.0455808417673785,nan,nan
162,0.02762388354868604,0.050985979899943114,0.023952276604251137,0.0471237016405252,0.0269559254004275,0.05006485160264063,0.02276304868958245,0.04544085530677852,0.0089790762827254,0.021634291764953895
163,0.03832140765819191,0.05090875689846902,0.028275977472573315,0.04700877649315963,0.036431198899717514,0.04998171957396428,0.025480947720066115,0.045319148553201,0.020911504203374107,0.021628774302651758
164,0.04046517217205288,0.050845462445581656,0.03440293160775869,0.046932377433248115,0.03949926533031513,0.049918189548245194,0.03295242539654119,0.04524419871588791,0.0998165005831378,0.02222110556235241
165,0.03926208849732167,0.05077568308444756,0.03890408065104697,0.0468840141996204,0.03935223937081227,0.049854539245971496,0.0392393611236764,0.0452080249954529,0.07962239072819723,0.02265269417262192
166,0.07319455837268042,0.05090992784665255,0.050850417592581555,0.046907765118141126,0.06988175385532333,0.04997446268674606,0.04544623287338459,0.045209451389931536,0.004109704229826755,0.022514313650660762
167,0.03891385634457693,0.05083852265914019,0.03348946560195946,0.04682789428768766,0.03828206334501177,0.04990486507161669,0.03223117075940492,0.04513219971951173,0.011547345213436153,0.022433076847422063
