agent,t,wager,sigma,m_over_b,profit,cum_profit,missing
0,40,0.43051122243469647,0.8733828624580948,0.9113680037206664,0.011316477128911984,0.04340978502960342,0
0,41,0.0,0.8737378960371557,,0.0,0.04340978502960342,1
0,42,0.7839839437284846,0.8737378960371557,0.9116165272260088,-0.010583918357276456,0.03282586667232697,0
0,43,0.0,0.8173340271845622,,0.0,0.03282586667232697,1
0,44,1.6889527342728081,0.8173340271845622,0.8721338190291934,-0.00877498288286116,0.024050883789465807,0
0,45,0.0,0.7984050490352522,,0.0,0.024050883789465807,1
0,46,0.08491197009509331,0.7984050490352522,0.8588835343246766,0.0013161442037514792,0.025367027993217287,0
0,47,0.8502742885376297,0.8134336551335739,0.8694035585935016,0.0,0.025367027993217287,0
0,48,0.0,0.838093515877828,,0.0,0.025367027993217287,1
0,49,0.0,0.838093515877828,,0.0,0.025367027993217287,1
1,0,0.564436698329716,1.0,1.0,0.003395656746551179,0.003395656746551179,0
1,1,0.9648349775865226,0.985081700693078,0.9895571904851546,0.004735437231951356,0.008131093978502535,0
1,2,0.9609494175981528,0.9780637182920938,0.9846446028044655,-0.0002332874606550961,0.007897806517847439,0
1,3,0.0,0.9575452802775093,,0.0,0.007897806517847439,1
1,4,0.0,0.9575452802775093,,0.0,0.007897806517847439,1
1,5,1.5422136625664715,0.9575452802775093,0.9702816961942565,0.013587701765108484,0.021485508282955923,0
1,6,0.903989529483839,0.9516792123803177,0.9661754486662224,0.00404241653926718,0.025527924822223103,0
1,7,0.31535520640728115,0.9394091454125749,0.9575864017888025,-0.0011196682518793688,0.024408256570343734,0
1,8,1.3878849572815684,0.8984037034427128,0.9288825924098988,0.02944066217684771,0.05384891874719144,0
1,9,0.4749460173424794,0.9035256968047115,0.932467987763298,0.007512040342796511,0.061360959089987954,0
1,10,2.0549660756065844,0.9093691740638216,0.936558421844675,0.0155944076982375,0.07695536678822545,0
1,11,2.431393128841788,0.9109382819428921,0.9376567973600245,-0.0052382912785153835,0.07171707550971007,0
1,12,0.0,0.8885846455007744,,0.0,0.07171707550971007,1
1,13,0.0,0.8885846455007744,,0.0,0.07171707550971007,1
1,14,1.0797214823574852,0.8885846455007744,0.922009251850542,0.007256933824599132,0.0789740093343092,0
1,15,1.057355190708096,0.8973505413535046,0.9281453789474532,0.009544161448068689,0.08851817078237789,0
1,16,0.2643462598563058,0.9062721713651324,0.9343905199555926,-0.002271597189300145,0.08624657359307775,0
1,17,0.3484290909327504,0.8783614144328052,0.9148529901029635,0.0029285630813439267,0.08917513667442167,0
1,18,0.1963644933069738,0.889013188904394,0.9223092322330756,0.0010326332318623122,0.09020776990628399,0
