t,method,crps
375,mechanism,0.016028
376,uniform,0.01598
376,raja_history_free,0.015571
376,vitali_ogd_per_quantile,0.015387
376,mechanism,0.015937
377,uniform,0.015979
377,raja_history_free,0.015589
377,vitali_ogd_per_quantile,0.015429
377,mechanism,0.015936
378,uniform,0.016027
378,raja_history_free,0.015648
378,vitali_ogd_per_quantile,0.015443
378,mechanism,0.015985
379,uniform,0.01614
379,raja_history_free,0.015777
379,vitali_ogd_per_quantile,0.015523
379,mechanism,0.016095
380,uniform,0.016092
380,raja_history_free,0.015747
380,vitali_ogd_per_quantile,0.015508
380,mechanism,0.016047
381,uniform,0.016034
381,raja_history_free,0.015709
381,vitali_ogd_per_quantile,0.015503
381,mechanism,0.015996
382,uniform,0.015484
382,raja_history_free,0.015097
382,vitali_ogd_per_quantile,0.014823
382,mechanism,0.015428
383,uniform,0.01511
383,raja_history_free,0.014771
383,vitali_ogd_per_quantile,0.014624
383,mechanism,0.015056
384,uniform,0.015149
384,raja_history_free,0.014843
384,vitali_ogd_per_quantile,0.014604
384,mechanism,0.015111
385,uniform,0.015142
385,raja_history_free,0.014839
385,vitali_ogd_per_quantile,0.014533
385,mechanism,0.015098
386,uniform,0.015407
386,raja_history_free,0.015119
386,vitali_ogd_per_quantile,0.01474
386,mechanism,0.015352
387,uniform,0.01547
387,raja_history_free,0.015188
387,vitali_ogd_per_quantile,0.014702
387,mechanism,0.015394
388,uniform,0.015475
388,raja_history_free,0.015205
388,vitali_ogd_per_quantile,0.014848
388,mechanism,0.015426
389,uniform,0.015421
389,raja_history_free,0.01517
389,vitali_ogd_per_quantile,0.014833
389,mechanism,0.015374
390,uniform,0.01558
390,raja_history_free,0.015349
390,vitali_ogd_per_quantile,0.015011
390,mechanism,0.015538
391,uniform,0.015734
391,raja_history_free,0.015521
391,vitali_ogd_per_quantile,0.015095
391,mechanism,0.015688
392,uniform,0.015356
392,raja_history_free,0.015132
392,vitali_ogd_per_quantile,0.014597
392,mechanism,0.015306
393,uniform,0.0153
393,raja_history_free,0.015104
393,vitali_ogd_per_quantile,0.014573
393,mechanism,0.015246
394,uniform,0.015758
394,raja_history_free,0.015587
394,vitali_ogd_per_quantile,0.015025
394,mechanism,0.015698
395,uniform,0.015722
