t,method,crps
567,vitali_ogd_per_quantile,0.034037
567,mechanism,0.036047
568,uniform,0.036845
568,raja_history_free,0.036572
568,vitali_ogd_per_quantile,0.034159
568,mechanism,0.036148
569,uniform,0.037171
569,raja_history_free,0.0369
569,vitali_ogd_per_quantile,0.034484
569,mechanism,0.03649
570,uniform,0.038144
570,raja_history_free,0.037872
570,vitali_ogd_per_quantile,0.035353
570,mechanism,0.037442
571,uniform,0.038171
571,raja_history_free,0.037908
571,vitali_ogd_per_quantile,0.035656
571,mechanism,0.037555
572,uniform,0.038584
572,raja_history_free,0.038319
572,vitali_ogd_per_quantile,0.035993
572,mechanism,0.037965
573,uniform,0.038652
573,raja_history_free,0.038384
573,vitali_ogd_per_quantile,0.036003
573,mechanism,0.038012
574,uniform,0.038912
574,raja_history_free,0.038653
574,vitali_ogd_per_quantile,0.036372
574,mechanism,0.038312
575,uniform,0.038928
575,raja_history_free,0.038669
575,vitali_ogd_per_quantile,0.03638
575,mechanism,0.038328
576,uniform,0.038849
576,raja_history_free,0.038589
576,vitali_ogd_per_quantile,0.036322
576,mechanism,0.038249
577,uniform,0.038797
577,raja_history_free,0.038539
577,vitali_ogd_per_quantile,0.036312
577,mechanism,0.038224
578,uniform,0.039403
578,raja_history_free,0.039121
578,vitali_ogd_per_quantile,0.036244
578,mechanism,0.038582
579,uniform,0.039791
579,raja_history_free,0.039504
579,vitali_ogd_per_quantile,0.036404
579,mechanism,0.038783
580,uniform,0.040428
580,raja_history_free,0.040127
580,vitali_ogd_per_quantile,0.036754
580,mechanism,0.039177
581,uniform,0.040482
581,raja_history_free,0.040146
581,vitali_ogd_per_quantile,0.036449
581,mechanism,0.038993
582,uniform,0.040474
582,raja_history_free,0.040128
582,vitali_ogd_per_quantile,0.036341
582,mechanism,0.038878
583,uniform,0.040423
583,raja_history_free,0.040074
583,vitali_ogd_per_quantile,0.036267
583,mechanism,0.038784
584,uniform,0.040183
584,raja_history_free,0.03983
584,vitali_ogd_per_quantile,0.03599
584,mechanism,0.038544
585,uniform,0.04002
585,raja_history_free,0.039666
585,vitali_ogd_per_quantile,0.035779
585,mechanism,0.038378
586,uniform,0.040106
586,raja_history_free,0.039757
586,vitali_ogd_per_quantile,0.035837
586,mechanism,0.03846
587,uniform,0.039983
587,raja_history_free,0.039633
587,vitali_ogd_per_quantile,0.035599
587,mechanism,0.038311
588,uniform,0.040481
588,raja_history_free,0.040133
588,vitali_ogd_per_quantile,0.035986
588,mechanism,0.038743
589,uniform,0.040424
589,raja_history_free,0.040045
589,vitali_ogd_per_quantile,0.035561
589,mechanism,0.038522
590,uniform,0.041442
590,raja_history_free,0.041045
590,vitali_ogd_per_quantile,0.036295
590,mechanism,0.039415
591,uniform,0.042036
591,raja_history_free,0.041612
591,vitali_ogd_per_quantile,0.036502
591,mechanism,0.039821
592,uniform,0.042649
592,raja_history_free,0.042192
592,vitali_ogd_per_quantile,0.036614
592,mechanism,0.040195
593,uniform,0.043531
593,raja_history_free,0.043053
593,vitali_ogd_per_quantile,0.03715
593,mechanism,0.040883
594,uniform,0.043706
594,raja_history_free,0.043207
594,vitali_ogd_per_quantile,0.037084
594,mechanism,0.040874
595,uniform,0.043059
595,raja_history_free,0.042562
595,vitali_ogd_per_quantile,0.036494
595,mechanism,0.040255
596,uniform,0.043204
596,raja_history_free,0.042698
596,vitali_ogd_per_quantile,0.036567
596,mechanism,0.040428
597,uniform,0.042661
597,raja_history_free,0.042164
597,vitali_ogd_per_quantile,0.036159
597,mechanism,0.039899
598,uniform,0.042832
598,raja_history_free,0.042333
598,vitali_ogd_per_quantile,0.036275
598,mechanism,0.040068
599,uniform,0.042892
599,raja_history_free,0.042387
599,vitali_ogd_per_quantile,0.03623
599,mechanism,0.040132
600,uniform,0.042237
600,raja_history_free,0.041731
